Symbol,Name,Currency,Last Price,ADT (Value),Turnover Rate %,Market Cap,Exchange,Board
WFC.US,Wells Fargo & Company,USD,94.29,1182678830.1215668,0.4136683097548339,295984281465.18,NYSE,SecurityBoard.Unknown
QQQM.US,Invesco NASDAQ 100 ETF,USD,256.93,1176712249.1,1.961991047853038,60653465100.0,NASD,SecurityBoard.Unknown
PFE.US,Pfizer Inc.,USD,25.28,1176673286.5693333,0.8134309068311363,143734686914.56,NYSE,SecurityBoard.Unknown
CRWD.US,"CrowdStrike Holdings, Inc.",USD,478.91,1175425915.8,0.9450109118750067,120732463900.40001,NASD,SecurityBoard.Unknown
IN00325.US,Automotive Parts and Equipment,USD,575.54,1171061269.6243334,0.0,0.0,,SecurityBoard.USSector
KO.US,The Coca-Cola Company,USD,67.54,1166274660.6348999,0.3853939079701082,290530661391.30005,NYSE,SecurityBoard.Unknown
IN00300.US,Health Care Supplies,USD,761.417,1164944162.9269998,0.0,0.0,,SecurityBoard.USSector
BE.US,Bloom Energy Corporation,USD,108.0,1163831428.8666666,5.017698793443875,25543161540.0,NYSE,SecurityBoard.Unknown
DIS.US,The Walt Disney Company,USD,112.91,1154507191.9417,0.5905037751708069,201576963601.86,NYSE,SecurityBoard.Unknown
NBIS.US,Nebius,USD,96.21,1145009549.9413333,5.002014543755488,24226372828.62,NASD,SecurityBoard.Unknown
XBI.US,State Street® SPDR® S&P® Biotech ETF,USD,126.43,1141337274.7333333,15.90377535491198,7421441000.0,AMEX,SecurityBoard.Unknown
PEP.US,"PepsiCo, Inc.",USD,137.01,1133279611.2079,0.5598325498006534,189508722625.86,NASD,SecurityBoard.Unknown
ASTS.US,"AST SpaceMobile, Inc.",USD,85.73,1120208258.9333334,4.068522499229635,31497315163.600002,NASD,SecurityBoard.Unknown
IN00298.US,Coal and Consumable Fuels,USD,5863.816,1115377537.2456667,0.0,0.0,,SecurityBoard.USSector
PANW.US,"Palo Alto Networks, Inc.",USD,193.9,1104805851.1329665,0.8431362745098039,135148300000.0,NASD,SecurityBoard.Unknown
XLY.US,The Consumer Discret Sel SectSPDR® ETF,USD,120.9,1103211765.1666667,7.715219574394504,12374508166.800001,AMEX,SecurityBoard.Unknown
CP00082.US,WSB Hot Stocks,USD,122.915,1101150356.7913334,0.0,0.0,,SecurityBoard.USSector
IN00351.US,Food Retail,USD,1938.731,1092002793.08,0.0,0.0,,SecurityBoard.USSector
IBM.US,International Business Machines Corporation,USD,296.73,1082740558.6003332,0.38165202406352217,277363977676.38,NYSE,SecurityBoard.Unknown
